www.szunicom.com	['211.96.107.194']
gc.szunicom.com	['211.96.96.232']
wx.szunicom.com	['58.250.192.16']
page.szunicom.com	['211.97.55.166']
mail.szunicom.com	['58.248.180.130']
wys.szunicom.com	['58.250.192.13']
wf.szunicom.com	['58.250.192.33']
qxt.szunicom.com	['211.97.55.171']
pm.szunicom.com	['211.97.55.169']
wbc.szunicom.com	['58.250.192.27']
m.szunicom.com	['58.250.192.16']
eis.szunicom.com	['211.96.96.225']
mms.szunicom.com	['211.96.96.197']
pis.szunicom.com	['211.96.96.232']
yzs.szunicom.com	['58.250.192.25']
mall.szunicom.com	['58.250.192.16']
avgw.szunicom.com	['58.248.180.130']
bd.szunicom.com	['58.250.192.81']
kc.szunicom.com	['58.250.192.17']
wuye.szunicom.com	['58.250.153.54']
sms.szunicom.com	['211.96.96.188']
ywb.szunicom.com	['58.250.243.13']
wlw.szunicom.com	['58.250.192.31']
